1, 1, 3, 3, 3, 3 
2, 2, 6, 7, 7, 7 
3, 6, 9, 14, 10, 10 
4, 13, 16, 19, 14, 14 
5, 20, 24, 25, 19, 19 
6, 29, 28, 33, 25, 25 
7, 28, 26, 45, 28, 28 
8, 45, 39, 53, 34, 34 
9, 44, 41, 58, 34, 34 
10, 57, 48, 67, 41, 41 
11, 69, 56, 75, 64, 49 
12, 75, 64, 81, 69, 49 
13, 83, 66, 89, 74, 53 
14, 89, 78, 101, 81, 61 
15, 111, 82, 106, 89, 69 
16, 122, 84, 114, 90, 71 
17, 128, 95, 123, 97, 75 
18, 145, 103, 150, 106, 86 
19, 161, 112, 160, 116, 87 
20, 177, 119, 148, 123, 99 
21, 176, 122, 179, 129, 130 
22, 189, 129, 186, 138, 138 
23, 207, 141, 200, 148, 146 
24, 217, 145, 211, 157, 151 
25, 228, 163, 220, 168, 160 
26, 235, 163, 231, 170, 162 
27, 250, 173, 241, 174, 173 
28, 275, 182, 256, 180, 180 
29, 286, 189, 263, 189, 186 
30, 296, 198, 278, 201, 194 
31, 300, 201, 284, 207, 200 
32, 318, 206, 288, 217, 206 
33, 347, 223, 307, 220, 211 
34, 334, 221, 311, 222, 215 
35, 366, 222, 320, 239, 233 
36, 373, 236, 333, 247, 240 
37, 384, 247, 339, 255, 241 
38, 415, 258, 352, 257, 262 
39, 429, 262, 365, 270, 264 
40, 437, 274, 380, 279, 274 
41, 456, 292, 397, 291, 285 
42, 457, 300, 403, 290, 290 
43, 488, 318, 411, 308, 299 
44, 509, 320, 430, 315, 300 
45, 516, 322, 469, 322, 313 
46, 534, 334, 443, 320, 316 
47, 554, 337, 455, 334, 328 
48, 556, 349, 506, 348, 338 
49, 582, 350, 521, 357, 340 
50, 597, 360, 532, 360, 347 
51, 608, 367, 550, 374, 364 
52, 621, 372, 565, 387, 370 
53, 648, 385, 569, 391, 380 
54, 647, 394, 586, 393, 386 
55, 674, 405, 590, 404, 404 
56, 685, 419, 611, 413, 397 
57, 711, 427, 618, 420, 406 
58, 715, 425, 634, 436, 411 
59, 725, 451, 643, 448, 428 
60, 750, 451, 655, 455, 431 
61, 782, 458, 662, 462, 438 
62, 783, 463, 673, 465, 451 
63, 804, 478, 691, 490, 472 
64, 839, 496, 705, 475, 464 
65, 843, 498, 711, 488, 483 
66, 840, 499, 731, 508, 480 
67, 882, 513, 741, 501, 494 
68, 888, 535, 755, 520, 511 
69, 911, 526, 764, 530, 523 
70, 940, 544, 774, 535, 527 
71, 923, 551, 789, 538, 529 
72, 966, 570, 804, 555, 545 
73, 968, 555, 838, 565, 540 
74, 998, 574, 833, 575, 573 
75, 1011, 581, 844, 579, 587 
76, 1021, 584, 854, 584, 587 
77, 1034, 577, 867, 612, 602 
78, 1068, 625, 883, 631, 604 
79, 1087, 633, 894, 639, 620 
80, 1085, 631, 916, 640, 614 
81, 1119, 636, 920, 638, 620 
82, 1142, 659, 926, 644, 651 
83, 1155, 658, 943, 661, 643 
84, 1185, 663, 953, 671, 674 
85, 1201, 700, 984, 680, 678 
86, 1205, 687, 990, 693, 682 
87, 1243, 700, 1023, 789, 690 
88, 1252, 719, 1031, 801, 704 
89, 1274, 716, 1040, 722, 704 
90, 1279, 707, 1060, 814, 736 
91, 1282, 729, 1065, 814, 719 
92, 1322, 747, 1072, 829, 744 
93, 1329, 756, 1165, 837, 745 
94, 1362, 760, 1099, 860, 738 
95, 1355, 772, 1093, 876, 757 
96, 1394, 778, 1185, 879, 754 
97, 1415, 795, 1146, 892, 769 
98, 1447, 808, 1125, 902, 794 
99, 1469, 817, 1245, 896, 792 
100, 1463, 828, 1175, 917, 797 
101, 1501, 837, 1287, 928, 820 
102, 1492, 837, 1286, 928, 828 
103, 1524, 856, 1303, 942, 830 
104, 1556, 859, 1315, 960, 836 
105, 1577, 876, 1330, 965, 828 
106, 1557, 879, 1342, 987, 852 
107, 1613, 889, 1359, 990, 863 
108, 1626, 905, 1364, 988, 867 
109, 1625, 910, 1379, 1016, 876 
110, 1668, 930, 1401, 1024, 906 
111, 1674, 932, 1398, 1019, 902 
112, 1663, 920, 1408, 1061, 900 
113, 1721, 952, 1442, 1057, 920 
114, 1746, 969, 1467, 1065, 933 
115, 1756, 970, 1469, 1067, 932 
116, 1785, 989, 1503, 1085, 945 
117, 1804, 983, 1489, 1096, 963 
118, 1803, 1003, 1522, 1099, 971 
119, 1834, 1009, 1536, 1105, 960 
120, 1854, 1022, 1554, 1124, 981 
121, 1848, 1028, 1559, 1138, 1001 
122, 1904, 1041, 1574, 1155, 1020 
123, 1950, 1069, 1574, 1153, 1013 
124, 1923, 1049, 1597, 1183, 1048 
125, 1953, 1064, 1633, 1191, 1041 
126, 1973, 1058, 1633, 1195, 1043 
127, 1998, 1073, 1667, 1206, 1030 
128, 2021, 1097, 1670, 1209, 1077 
129, 2046, 1112, 1679, 1238, 1046 
130, 2047, 1118, 1683, 1248, 1094 
131, 2081, 1132, 1720, 1259, 1103 
132, 2097, 1145, 1618, 1250, 1114 
133, 2124, 1164, 1727, 1267, 1123 
134, 2162, 1174, 1739, 1285, 1142 
135, 2186, 1172, 1763, 1289, 1151 
136, 2190, 1187, 1770, 1309, 1158 
137, 2167, 1198, 1807, 1308, 1150 
138, 2208, 1200, 1827, 1284, 1173 
139, 2234, 1207, 1822, 1320, 1202 
140, 2252, 1214, 1828, 1342, 1198 
141, 2266, 1238, 1840, 1354, 1203 
142, 2301, 1245, 1858, 1370, 1202 
143, 2319, 1247, 1876, 1388, 1213 
144, 2328, 1270, 1897, 1364, 1234 
145, 2338, 1271, 1916, 1391, 1254 
146, 2371, 1274, 1926, 1419, 1266 
147, 2430, 1294, 1961, 1424, 1265 
148, 2416, 1289, 1943, 1442, 1282 
149, 2437, 1320, 1977, 1454, 1286 
150, 2451, 1314, 1985, 1458, 1289 
151, 2458, 1349, 2002, 1482, 1291 
152, 2525, 1334, 2014, 1473, 1285 
153, 2512, 1376, 2021, 1492, 1305 
154, 2562, 1366, 2049, 1521, 1322 
155, 2581, 1408, 2052, 1525, 1327 
156, 2586, 1380, 2095, 1516, 1351 
157, 2563, 1404, 2068, 1554, 1359 
158, 2622, 1402, 2105, 1539, 1343 
159, 2683, 1441, 2116, 1561, 1391 
160, 2658, 1441, 2134, 1570, 1391 
161, 2684, 1466, 2149, 1581, 1404 
162, 2736, 1446, 2157, 1593, 1413 
163, 2726, 1467, 2174, 1594, 1407 
164, 2730, 1461, 2184, 1609, 1428 
165, 2771, 1477, 2206, 1672, 1432 
166, 2790, 1482, 2204, 1646, 1457 
167, 2835, 1502, 2217, 1657, 1458 
168, 2865, 1515, 2222, 1651, 1475 
169, 2877, 1526, 2256, 1679, 1480 
170, 2870, 1511, 2273, 1751, 1493 
171, 2912, 1559, 2316, 1690, 1522 
172, 2913, 1561, 2318, 1725, 1506 
173, 2944, 1542, 2322, 1722, 1508 
174, 2955, 1586, 2367, 1745, 1511 
175, 2967, 1584, 2369, 1741, 1542 
176, 3030, 1575, 2372, 1765, 1557 
177, 3014, 1614, 2398, 1793, 1566 
178, 3079, 1640, 2386, 1783, 1583 
179, 3079, 1620, 2435, 1820, 1579 
180, 3082, 1637, 2459, 1784, 1579 
181, 3145, 1638, 2435, 1811, 1583 
182, 3114, 1680, 2457, 1848, 1620 
183, 3109, 1655, 2462, 1828, 1625 
184, 3208, 1707, 2504, 1838, 1618 
185, 3189, 1696, 2498, 1861, 1629 
186, 3211, 1725, 2511, 1877, 1660 
187, 3252, 1699, 2573, 1863, 1662 
188, 3249, 1732, 2548, 1887, 1677 
189, 3279, 1735, 2557, 1905, 1669 
190, 3305, 1755, 2582, 1959, 1682 
191, 3327, 1735, 2566, 1922, 1708 
192, 3304, 1731, 2621, 1957, 1707 
193, 3420, 1794, 2625, 1950, 1724 
194, 3405, 1771, 2668, 1985, 1727 
195, 3401, 1811, 2646, 1976, 1750 
196, 3426, 1825, 2674, 1989, 1750 
197, 3443, 1794, 2701, 1983, 1761 
198, 3502, 1824, 2707, 2026, 1764 
199, 3494, 1810, 2722, 2010, 1769 
200, 3555, 1857, 2917, 2014, 1779 
201, 3562, 1858, 2929, 2052, 1808 
202, 3559, 1868, 2934, 2068, 1805 
203, 3575, 1889, 2778, 2050, 1800 
204, 3634, 1903, 2828, 2074, 1835 
205, 3673, 1875, 2785, 2069, 1842 
206, 3655, 1900, 2835, 2078, 1846 
207, 3709, 1913, 2855, 2111, 1868 
208, 3681, 1943, 2865, 2111, 1882 
209, 3750, 1946, 2878, 2100, 1878 
210, 3745, 1977, 2904, 2185, 1890 
211, 3722, 1984, 2914, 2169, 1902 
212, 3813, 1986, 2896, 2171, 1921 
213, 3851, 1979, 3105, 2167, 1928 
214, 3859, 1989, 3046, 2185, 1919 
215, 3865, 2008, 2948, 2241, 1932 
216, 3907, 2002, 2965, 2240, 1960 
217, 3836, 2040, 2995, 2210, 1974 
218, 3946, 2018, 2986, 2264, 1976 
219, 3932, 2046, 3012, 2236, 1982 
220, 3990, 2062, 3018, 2275, 1998 
221, 4000, 2072, 3066, 2268, 2016 
222, 4036, 2083, 3063, 2312, 1995 
223, 4062, 2107, 3072, 2293, 2018 
224, 4037, 2147, 3101, 2281, 2023 
225, 4038, 2129, 3131, 2330, 2038 
226, 4114, 2124, 3136, 2312, 2045 
227, 4136, 2134, 3147, 2376, 2057 
228, 4169, 2166, 3152, 2380, 2075 
229, 4140, 2154, 3173, 2360, 2077 
230, 4216, 2188, 3397, 2352, 2120 
231, 4224, 2178, 3397, 2376, 2104 
232, 4250, 2206, 3201, 2408, 2101 
233, 4342, 2212, 3440, 2402, 2118 
234, 4293, 2213, 3227, 2432, 2113 
235, 4287, 2198, 3487, 2420, 2155 
236, 4312, 2226, 3239, 2436, 2159 
237, 4340, 2232, 3516, 2441, 2180 
238, 4366, 2243, 3497, 2472, 2205 
239, 4397, 2291, 3360, 2436, 2185 
240, 4416, 2274, 3564, 2473, 2190 
241, 4449, 2288, 3564, 2515, 2205 
242, 4462, 2291, 3352, 2550, 2206 
243, 4500, 2307, 3448, 2525, 2243 
244, 4515, 2340, 3610, 2536, 2246 
245, 4537, 2334, 3445, 2551, 2274 
246, 4563, 2337, 3470, 2576, 2286 
247, 4540, 2346, 3654, 2589, 2297 
248, 4618, 2384, 3707, 2589, 2300 
249, 4614, 2382, 3715, 2611, 2315 
250, 4631, 2386, 3467, 2634, 2333 
251, 4664, 2404, 3499, 2611, 2321 
252, 4692, 2393, 3759, 2664, 2354 
253, 4717, 2442, 3530, 2631, 2352 
254, 4749, 2467, 3558, 2635, 2363 
255, 4783, 2481, 3804, 2661, 2406 
256, 4786, 2445, 3586, 2678, 2367 
257, 4771, 2435, 3830, 2688, 2397 
258, 4836, 2487, 3601, 2718, 2408 
259, 4832, 2472, 3870, 2705, 2442 
260, 4883, 2507, 3659, 2706, 2434 
261, 4898, 2514, 3911, 2738, 2422 
262, 4895, 2526, 3724, 2745, 2439 
263, 4956, 2532, 3685, 2739, 2450 
264, 4962, 2564, 3959, 2750, 2455 
265, 4995, 2568, 3744, 2777, 2451 
266, 5020, 2606, 3759, 2802, 2491 
267, 4986, 2570, 4006, 2792, 2528 
268, 5089, 2621, 4003, 2820, 2480 
269, 5086, 2599, 3835, 2849, 2529 
270, 5079, 2594, 4074, 2848, 2545 
271, 5131, 2648, 4066, 2863, 2510 
272, 5146, 2669, 4094, 2924, 2589 
273, 5170, 2666, 4088, 2967, 2574 
274, 5222, 2650, 4117, 2888, 2576 
275, 5207, 2678, 3910, 2963, 2581 
276, 5271, 2705, 4151, 2942, 2589 
277, 5255, 2707, 4132, 2939, 2580 
278, 5338, 2731, 3940, 2928, 2641 
279, 5329, 2729, 4203, 2961, 2631 
280, 5372, 2721, 4201, 2954, 2646 
281, 5333, 2743, 4218, 2983, 2672 
282, 5395, 2762, 4259, 2981, 2634 
283, 5405, 2752, 4291, 2980, 2672 
284, 5448, 2786, 4302, 3002, 2711 
285, 5449, 2805, 4307, 3031, 2733 
286, 5472, 2826, 4087, 3060, 2691 
287, 5530, 2818, 4339, 3048, 2706 
288, 5517, 2809, 4344, 3063, 2759 
289, 5514, 2816, 4340, 3086, 2747 
290, 5581, 2829, 4407, 3114, 2740 
291, 5604, 2865, 4426, 3063, 2767 
292, 5585, 2826, 4400, 3101, 2789 
293, 5633, 2886, 4442, 3140, 2789 
294, 5715, 2885, 4469, 3191, 2815 
295, 5647, 2896, 4459, 3162, 2817 
296, 5755, 2899, 4509, 3209, 2809 
297, 5759, 2938, 4519, 3192, 2806 
298, 5736, 2918, 4518, 3187, 3129 
299, 5769, 2926, 4556, 3191, 2842 
300, 5825, 2954, 4565, 3214, 3191 
301, 5794, 2964, 4584, 3224, 3185 
302, 5887, 2983, 4559, 3227, 2866 
303, 5861, 2985, 4604, 3246, 2899 
304, 5932, 2992, 4628, 3234, 2901 
305, 5932, 2997, 4617, 3267, 2920 
306, 5953, 3023, 4629, 3283, 2925 
307, 5941, 3008, 4666, 3274, 2938 
308, 5980, 3060, 4672, 3366, 2975 
309, 6060, 3030, 4749, 3313, 2945 
310, 6038, 3039, 4732, 3317, 2953 
311, 6067, 3033, 4722, 3337, 3288 
312, 6100, 3068, 4755, 3359, 2998 
313, 6096, 3075, 4758, 3402, 2989 
314, 6114, 3088, 4805, 3370, 3312 
315, 6163, 3115, 4767, 3425, 2993 
316, 6187, 3119, 4829, 3437, 3348 
317, 6180, 3147, 4830, 3423, 3361 
318, 6221, 3125, 4907, 3426, 3387 
319, 6247, 3126, 4885, 3434, 3365 
320, 6275, 3192, 4855, 3441, 3413 
321, 6320, 3198, 4901, 3462, 3083 
322, 6349, 3189, 4912, 3530, 3434 
323, 6363, 3209, 4932, 3548, 3472 
324, 6381, 3175, 4945, 3460, 3478 
325, 6405, 3236, 4987, 3554, 3465 
326, 6408, 3246, 4994, 3510, 3482 
327, 6475, 3246, 4993, 3622, 3502 
328, 6478, 3278, 5047, 3610, 3152 
329, 6463, 3290, 5047, 3582, 3509 
330, 6540, 3246, 5035, 3607, 3513 
331, 6508, 3330, 5081, 3615, 3546 
332, 6520, 3323, 5091, 3601, 3541 
333, 6621, 3341, 5128, 3593, 3222 
334, 6587, 3335, 5134, 3607, 3595 
335, 6649, 3373, 5148, 3692, 3234 
336, 6701, 3374, 5179, 3692, 3252 
337, 6705, 3377, 5175, 3664, 3606 
338, 6690, 3403, 5234, 3703, 3270 
339, 6715, 3372, 5223, 3696, 3653 
340, 6808, 3431, 5246, 3696, 3631 
341, 6784, 3396, 5216, 3765, 3304 
342, 6812, 3454, 5253, 3756, 3674 
343, 6889, 3406, 5274, 3741, 3682 
344, 6867, 3441, 5277, 3805, 3715 
345, 6899, 3537, 5323, 3807, 3691 
346, 6881, 3482, 5365, 3811, 3740 
347, 6963, 3495, 5353, 3807, 3746 
348, 6980, 3507, 5369, 3845, 3730 
349, 7005, 3494, 5370, 3853, 3759 
350, 6990, 3537, 5388, 3864, 3774 
351, 7030, 3518, 5400, 3861, 3775 
352, 7117, 3594, 5415, 3909, 3775 
353, 7043, 3562, 5435, 3850, 3776 
354, 7130, 3575, 5515, 3874, 3768 
355, 7181, 3585, 5472, 3879, 3831 
356, 7176, 3599, 5474, 3914, 3827 
357, 7156, 3614, 5496, 3902, 3853 
358, 7223, 3583, 5537, 3915, 3876 
359, 7243, 3602, 5550, 3935, 3875 
360, 7249, 3629, 5561, 3978, 3885 
361, 7251, 3661, 5597, 3961, 3898 
362, 7302, 3621, 5608, 3956, 3905 
363, 7342, 3674, 5585, 3987, 3933 
364, 7362, 3653, 5669, 3991, 3934 
365, 7355, 3677, 5642, 4005, 3905 
366, 7356, 3717, 5691, 4036, 3988 
367, 7411, 3720, 5682, 4049, 3957 
368, 7428, 3737, 5719, 4108, 3976 
369, 7470, 3749, 5719, 4064, 3980 
370, 7504, 3769, 5753, 4080, 3994 
371, 7534, 3738, 5740, 4078, 4012 
372, 7514, 3756, 5775, 4071, 4049 
373, 7591, 3788, 5807, 4115, 4039 
374, 7594, 3771, 5819, 4174, 4050 
375, 7620, 3806, 5842, 4162, 4055 
376, 7628, 3828, 5894, 4150, 4070 
377, 7702, 3888, 5848, 4195, 4095 
378, 7669, 3860, 5907, 4181, 4101 
379, 7645, 3833, 5910, 4194, 4095 
380, 7737, 3890, 5938, 4226, 4125 
381, 7770, 3870, 5927, 4182, 4110 
382, 7781, 3877, 5968, 4205, 4158 
383, 7836, 3918, 5924, 4254, 4155 
384, 7848, 3917, 5978, 4268, 4195 
385, 7871, 3912, 5992, 4224, 4197 
386, 7904, 3964, 6015, 4319, 4181 
387, 7899, 3911, 6004, 4353, 4205 
388, 7957, 3962, 6055, 4329, 4214 
389, 8000, 3966, 6072, 4338, 4199 
390, 7968, 3993, 6106, 4298, 4244 
391, 8015, 3974, 6130, 4386, 4223 
392, 8017, 3978, 6093, 4364, 4257 
393, 8018, 4004, 6116, 4401, 4293 
394, 8104, 4036, 6101, 4382, 4258 
395, 8089, 4039, 6138, 4399, 4289 
396, 8113, 4044, 6229, 4418, 4324 
397, 8187, 4096, 6216, 4460, 4338 
398, 8186, 4059, 6227, 4391, 4331 
399, 8183, 4093, 6260, 4431, 4339 
400, 8247, 4072, 6236, 4444, 4360 
401, 8312, 4107, 6385, 4475, 4391 
402, 8297, 4117, 6280, 4510, 4384 
403, 8340, 4147, 6316, 4478, 4427 
404, 8374, 4129, 6312, 4503, 4427 
405, 8344, 4139, 6316, 4546, 4418 
406, 8324, 4154, 6320, 4549, 4412 
407, 8395, 4177, 6364, 4550, 4458 
408, 8525, 4181, 6398, 4536, 4458 
409, 8500, 4223, 6446, 4579, 4491 
410, 8482, 4209, 6402, 4570, 4484 
411, 8481, 4189, 6422, 4607, 4498 
412, 8530, 4230, 6479, 4565, 4495 
413, 8528, 4254, 6589, 4557, 4526 
414, 8592, 4294, 6448, 4636, 4542 
415, 8615, 4279, 6505, 4659, 4542 
416, 8672, 4303, 6478, 4619, 4541 
417, 8590, 4261, 6504, 4684, 4554 
418, 8682, 4300, 6547, 4631, 4563 
419, 8757, 4315, 6562, 4686, 4600 
420, 8736, 4326, 6575, 4701, 4608 
421, 8748, 4339, 6597, 4725, 4606 
422, 8840, 4351, 6623, 4717, 4632 
423, 8800, 4394, 6648, 4743, 4635 
424, 8815, 4400, 6649, 4742, 4668 
425, 8835, 4367, 6647, 4777, 4660 
426, 8875, 4410, 6646, 4779, 4684 
427, 8898, 4442, 6690, 4804, 4708 
428, 8894, 4415, 6728, 4763, 4727 
429, 8979, 4409, 6742, 4801, 4721 
430, 8983, 4489, 6739, 4856, 4725 
431, 8991, 4463, 6785, 4877, 4732 
432, 9011, 4443, 6751, 4882, 4778 
433, 9103, 4462, 6794, 4826, 4764 
434, 9146, 4529, 6781, 4884, 4772 
435, 9168, 4481, 6831, 4905, 4771 
436, 9108, 4522, 6831, 4891, 4791 
437, 9160, 4502, 6871, 4887, 4847 
438, 9184, 4586, 6888, 4985, 4860 
439, 9251, 4553, 6915, 4945, 4847 
440, 9259, 4559, 7038, 4965, 4838 
441, 9328, 4577, 6950, 4963, 4878 
442, 9286, 4609, 6955, 4966, 4877 
443, 9299, 4644, 6976, 5026, 4941 
444, 9304, 4635, 7004, 4997, 4906 
445, 9387, 4582, 7006, 4972, 4938 
446, 9324, 4639, 7016, 5017, 4915 
447, 9476, 4652, 7033, 5058, 4937 
448, 9391, 4648, 7091, 5066, 4969 
449, 9503, 4687, 7069, 5033, 4947 
450, 9464, 4678, 7092, 5036, 4962 
451, 9526, 4696, 7136, 5081, 4971 
452, 9565, 4708, 7129, 5112, 5018 
453, 9594, 4756, 7153, 5153, 5015 
454, 9672, 4729, 7169, 5147, 5002 
455, 9557, 4722, 7190, 5138, 5063 
456, 9646, 4777, 7235, 5144, 5033 
457, 9711, 4762, 7220, 5164, 5049 
458, 9706, 4803, 7222, 5146, 5068 
459, 9757, 4822, 7257, 5174, 5073 
460, 9721, 4831, 7252, 5216, 5118 
461, 9788, 4859, 7383, 5208, 5102 
462, 9811, 4825, 7426, 5233, 5130 
463, 9852, 4818, 7462, 5209, 5156 
464, 9827, 4832, 7524, 5230, 5143 
465, 9915, 4900, 7785, 5333, 5196 
466, 9955, 4872, 7416, 5282, 5157 
467, 9980, 4911, 7544, 5268, 5155 
468, 9970, 4907, 7535, 5283, 5228 
469, 9993, 4903, 7473, 5298, 5211 
470, 9993, 4909, 7551, 5308, 5214 
471, 10022, 4929, 7520, 5325, 5209 
472, 10010, 4958, 7534, 5333, 5271 
473, 10047, 4991, 7554, 5404, 5266 
474, 10100, 4968, 7631, 5382, 5281 
475, 10103, 4965, 7970, 5371, 5288 
476, 10188, 5024, 7673, 5395, 5331 
477, 10153, 5037, 7631, 5413, 5343 
478, 10219, 5084, 7710, 5413, 5341 
479, 10255, 5043, 7644, 5413, 5318 
480, 10367, 5064, 7620, 5480, 5333 
481, 10362, 5087, 7634, 5501, 5356 
482, 10320, 5065, 7797, 5463, 5380 
483, 10361, 5145, 7769, 5482, 5382 
484, 10377, 5087, 7791, 5472, 5379 
485, 10385, 5110, 7850, 5481, 5427 
486, 10470, 5148, 7795, 5556, 5485 
487, 10459, 5141, 7831, 5506, 5433 
488, 10539, 5167, 7790, 5571, 5459 
489, 10487, 5194, 7863, 5568, 5487 
490, 10508, 5215, 7904, 5567, 5500 
491, 10583, 5245, 7954, 5573, 5455 
492, 10627, 5175, 7840, 5625, 5479 
493, 10582, 5228, 7961, 5582, 5518 
494, 10624, 5221, 7970, 5679, 5525 
495, 10603, 5269, 7887, 5639, 5545 
496, 10753, 5226, 8376, 5668, 5560 
497, 10689, 5285, 8424, 5643, 5608 
498, 10749, 5274, 7976, 5735, 5623 
499, 10728, 5261, 8029, 5723, 5542 
500, 10791, 5255, 7976, 5675, 5640 
501, 10866, 5331, 8430, 5746, 5627 
502, 10894, 5341, 8051, 5733, 5632 
503, 10944, 5373, 8030, 5728, 5654 
504, 10946, 5373, 8054, 5759, 5642 
505, 10958, 5372, 8102, 5787, 5658 
506, 10973, 5398, 8104, 5773, 5671 
507, 10985, 5370, 8119, 5788, 5639 
508, 11058, 5416, 8166, 5877, 5741 
509, 11026, 5390, 8179, 5878, 5733 
510, 11072, 5452, 8174, 5842, 5736 
511, 11116, 5471, 8188, 5839, 5779 
512, 11088, 5428, 8185, 5883, 5756 
513, 11174, 5487, 8216, 5876, 5783 
514, 11146, 5484, 8221, 5875, 5786 
515, 11164, 5495, 8262, 5874, 5838 
516, 11221, 5503, 8311, 5889, 5831 
517, 11326, 5506, 8279, 5948, 5812 
518, 11303, 5502, 8806, 5936, 5862 
519, 11281, 5551, 8467, 5983, 5880 
520, 11378, 5550, 8310, 5986, 5825 
521, 11397, 5552, 8512, 6039, 5871 
522, 11391, 5579, 8379, 5964, 5895 
523, 11453, 5589, 8383, 5944, 5899 
524, 11465, 5645, 8406, 6053, 5937 
525, 11445, 5612, 8395, 5972, 5939 
526, 11512, 5628, 8453, 6093, 5938 
527, 11510, 5613, 8477, 6039, 5940 
528, 11561, 5643, 8511, 6115, 6000 
529, 11506, 5642, 8489, 6092, 5988 
530, 11559, 5698, 8505, 6111, 6010 
531, 11662, 5700, 8544, 6090, 6018 
532, 11644, 5701, 8596, 6157, 5964 
533, 11694, 5709, 8555, 6131, 6008 
534, 11690, 5733, 8570, 6157, 6055 
535, 11779, 5707, 8649, 6206, 6078 
536, 11766, 5707, 8616, 6167, 6027 
537, 11720, 5733, 8819, 6214, 6072 
538, 11736, 5747, 8711, 6196, 6185 
539, 11894, 5774, 8812, 6175, 6079 
540, 11790, 5764, 8764, 6237, 6105 
541, 11898, 5773, 8746, 6234, 6125 
542, 11894, 5793, 8829, 6287, 6174 
543, 12077, 5826, 8695, 6242, 6185 
544, 11950, 5825, 9256, 6296, 6183 
545, 11966, 5843, 8806, 6324, 6218 
546, 12035, 5862, 9315, 6274, 6178 
547, 11974, 5822, 9328, 6376, 6243 
548, 12024, 5900, 9343, 6356, 6263 
549, 12077, 5841, 8879, 6337, 6261 
550, 12103, 5908, 8873, 6297, 6262 
551, 12142, 5902, 8868, 6401, 6270 
552, 12165, 5913, 8906, 6355, 6291 
553, 12146, 5920, 8971, 6354, 6242 
554, 12199, 5900, 9448, 6391, 6302 
555, 12196, 5943, 9506, 6431, 6344 
556, 12299, 5934, 9505, 6493, 6312 
557, 12310, 6029, 9487, 6396, 6413 
558, 12393, 6022, 9121, 6473, 6357 
559, 12306, 5987, 8986, 6458, 6398 
560, 12444, 5945, 9539, 6493, 6402 
561, 12421, 5996, 9595, 6537, 6399 
562, 12458, 6042, 9603, 6511, 6373 
563, 12486, 6053, 9634, 6542, 6532 
564, 12454, 6101, 9189, 6529, 6440 
565, 12515, 6083, 9163, 6578, 6466 
